estado,media,moda,mediana,desvio padrao,variancia,desvio padrao populacional,variancia populacional
DF,"21,5027579659133","19,3","20,9","4,256420565459215","18,11711603006414","4,256371282794258","18,11669649699564"
GO,"23,64567935907994","21,6","23,2","4,912726044581346","24,134877189107872","4,912714351665333","24,134762301058533"
MS,"24,0637960884899","22,2","23,8","5,492888685757975","30,171826114127967","5,492866671892582","30,17158427518829"
MT,"24,895358044917742","22,6","24,3","5,170702594715746","26,73616532300015","5,170686550460114","26,73599940310911"
AL,"25,29587377195594","23,5","24,6","3,4164190352221087","11,671919024227964","3,416368180139302","11,671571542268326"
BA,"24,33148949005254","22,5","24,0","4,538026847297507","20,593687666792956","4,538017598805683","20,593603727070096"
CE,"27,059848016402512","25,9","26,4","3,9436499469502526","15,552374904080732","3,943617860625602","15,55212183064525"
MA,"27,135945475770825","24,1","26,4","3,864191294863109","14,931974363295831","3,8641691818640966","14,931803466068242"
PB,"25,061320919037893","22,6","24,5","3,7846433912189577","14,323525598697332","3,7846134270179426","14,323298791964497"
PE,"24,607300099700897","22,7","24,1","4,395337184058184","19,31898896156453","4,395293361933605","19,318603737457618"
PI,"27,332054687000884","23,7","26,8","4,318503391046633","18,64947153848127","4,31848368422607","18,64930133092677"
RN,"27,850891861761426","25,7","27,5","3,7496776423783156","14,060082421751803","3,74960299444539","14,059522615953837"
SE,"25,142907346083664","22,9","24,9","3,1829046276123387","10,13088186847604","3,1827970734322477","10,13019721064888"
AC,"25,136090702947847","22,3","23,9","4,415606080708177","19,497577059987034","4,415405821923036","19,49580857227184"
AM,"26,647007796549207","24,2","25,9","3,3669094458073343","11,33607921626665","3,366891636889699","11,335959294557796"
AP,"26,521219329844357","24,0","25,7","2,9629974604902336","8,779353950871574","2,962896765601061","8,77875724360923"
PA,"26,491381633306286","23,9","25,7","3,5350126293306063","12,496314289526888","3,534999472441765","12,496221270163554"
RO,"25,60305884018976","24,0","24,9","3,95069104955326","15,607959769020239","3,9505511798022983","15,606854624237329"
RR,"26,700564384375465","24,6","25,9","3,093665010784326","9,570763198951184","3,093435263280331","9,569341728106249"
TO,"26,177324624289735","23,2","25,3","4,763667970438684","22,692532532583414","4,7636426734251485","22,69229152007709"
ES,"22,837516601457338","22,6","22,7","4,544881792014093","20,65595050338123","4,544861399627484","20,655765141823892"
MG,"21,690678945863773","21,3","21,5","5,164984884928608","26,67706886154099","5,164980241584019","26,677020895953316"
RJ,"21,89271676731182","22,8","22,1","4,878969597942137","23,804344337643663","4,87895823991867","23,804233506870283"
SP,"21,024836035144165","21,0","20,9","5,484393139607068","30,078568109769076","5,48438315904604","30,078458635227815"
PR,"19,868045271380982","18,3","19,7","5,8469877836481245","34,18726614213041","5,846966519051974","34,18701747491476"
RS,"18,160263363082212","16,0","17,8","6,547769745991096","42,8732886465163","6,5477602564353425","42,87316437575422"
SC,"17,886159357964495","17,3","18,0","5,760659646449303","33,18519956222941","5,760641823811742","33,184994222249074"